frame_id,stone_id,team,x_px,y_px
891,907,red,548,261
892,908,red,562,259
893,909,red,562,259
893,910,red,552,260
894,911,red,561,258
894,912,red,554,258
895,913,red,562,256
895,914,red,551,257
896,915,red,549,257
896,916,red,569,255
897,917,red,563,256
897,918,red,552,256
898,919,red,564,255
898,920,red,555,256
899,921,red,564,254
899,922,red,552,255
900,923,red,550,255
900,924,red,565,254
901,925,red,557,254
901,926,red,573,254
902,927,red,554,255
902,928,red,565,255
903,929,red,559,255
903,930,red,568,255
904,931,red,558,255
904,932,red,579,254
905,933,red,562,247
905,934,red,569,247
906,935,red,560,238
906,936,red,582,239
907,937,red,568,233
908,938,red,560,229
908,939,red,581,228
909,940,red,572,221
910,941,red,574,214
910,942,red,567,214
911,943,red,564,209
911,944,red,576,209
911,945,red,582,208
912,946,red,564,208
912,947,red,584,207
913,948,red,568,208
913,949,red,574,208
914,950,red,567,206
914,951,red,576,205
915,952,red,567,207
915,953,red,582,206
916,954,red,569,207
916,955,red,580,206
917,956,red,580,206
917,957,red,573,206
917,958,red,567,206
918,959,red,573,206
918,960,red,582,205
919,961,red,576,206
919,962,red,582,205
920,963,red,574,206
920,964,red,592,206
921,965,red,580,205
922,966,red,577,207
922,967,red,588,207
923,968,red,575,207
923,969,red,593,207
924,970,red,582,206
925,971,red,578,207
925,972,red,594,208
926,973,red,578,208
926,974,red,592,208
927,975,red,577,208
927,976,red,593,208
928,977,red,584,209
928,978,red,594,208
929,979,red,582,210
929,980,red,588,209
930,981,red,583,209
930,982,red,598,209
930,983,red,591,210
931,984,red,584,197
931,985,yellow,540,524
931,986,red,598,197
931,987,red,589,197
932,988,yellow,539,504
932,989,red,584,185
932,990,red,595,183
932,991,red,589,184
933,992,yellow,538,485
933,993,red,584,178
933,994,red,600,178
933,995,red,590,178
934,996,yellow,538,466
934,997,red,586,167
934,998,red,594,166
935,999,yellow,539,439
935,1000,red,586,156
935,1001,red,596,155
936,1002,yellow,538,410
936,1003,red,588,145
936,1004,red,600,144
937,1005,yellow,538,393
937,1006,red,590,137
937,1007,red,596,136
938,1008,yellow,539,376
938,1009,red,600,129
939,1010,yellow,538,352
939,1011,red,599,119
940,1012,yellow,539,327
940,1013,red,599,109
941,1014,yellow,539,312
941,1015,red,599,102
942,1016,yellow,539,289
943,1017,yellow,538,283
943,1018,red,597,91
944,1019,yellow,539,275
945,1020,yellow,539,270
946,1021,yellow,538,255
947,1022,yellow,539,241
947,1023,red,599,81
948,1024,yellow,539,228
948,1025,red,602,80
949,1026,yellow,539,225
949,1027,red,602,78
950,1028,yellow,540,208
950,1029,red,601,78
951,1030,yellow,539,200
951,1031,red,601,78
952,1032,yellow,539,189
952,1033,red,601,76
953,1034,yellow,539,185
953,1035,red,602,76
954,1036,yellow,539,171
954,1037,red,602,76
955,1038,yellow,540,164
955,1039,red,603,76
956,1040,yellow,540,154
956,1041,red,603,75
957,1042,yellow,539,147
957,1043,red,602,74
958,1044,yellow,539,139
958,1045,red,602,74
959,1046,yellow,539,132
959,1047,red,605,73
960,1048,yellow,539,127
960,1049,red,606,72
961,1050,yellow,539,121
961,1051,red,604,73
962,1052,yellow,540,113
962,1053,red,604,75
963,1054,yellow,539,107
963,1055,red,604,75
964,1056,yellow,540,99
964,1057,red,603,76
965,1058,yellow,539,97
965,1059,red,604,76
966,1060,yellow,539,86
966,1061,red,605,75
967,1062,yellow,539,81
967,1063,red,605,75
968,1064,yellow,539,76
968,1065,red,606,75
969,1066,yellow,540,69
969,1067,red,606,74
970,1068,yellow,539,59
970,1069,red,607,71
971,1070,yellow,540,52
971,1071,red,608,68
972,1072,yellow,540,43
972,1073,red,608,64
973,1074,yellow,540,36
973,1075,red,609,61
974,1076,yellow,540,24
974,1077,red,611,58
975,1078,yellow,540,21
975,1079,red,612,56
976,1080,yellow,540,14
976,1081,red,613,53
977,1082,yellow,540,12
977,1083,red,614,53
978,1084,yellow,540,11
978,1085,red,614,55
979,1086,red,615,56
979,1087,yellow,540,9
980,1088,red,617,62
980,1089,yellow,540,8
981,1090,red,617,62
981,1091,yellow,540,8
982,1092,red,620,74
982,1093,yellow,540,8
983,1094,red,619,75
983,1095,yellow,540,8
984,1096,yellow,540,8
984,1097,red,621,82
985,1098,red,621,85
985,1099,yellow,540,8
986,1100,red,622,89
986,1101,yellow,540,8
987,1102,red,623,93
987,1103,yellow,540,8
988,1104,red,625,98
988,1105,yellow,540,8
989,1106,yellow,540,8
989,1107,red,625,102
990,1108,yellow,540,8
990,1109,red,627,106
991,1110,yellow,540,8
991,1111,red,627,108
992,1112,yellow,540,8
992,1113,red,627,111
993,1114,yellow,540,8
993,1115,red,631,118
994,1116,yellow,540,8
995,1117,yellow,540,8
995,1118,red,632,123
996,1119,yellow,540,8
996,1120,red,638,127
